pdb,execution_time
pdb6aqz_A_hinge_7_sigma1.5.pdb,0.231561
pdb6aqz_A_hinge_4_sigma1.5.pdb,0.214694
pdb6aqz_A_hinge_9_sigma1.0.pdb,0.472213
pdb6aqz_A_hinge_10_sigma0.5.pdb,0.715314
pdb6aqz_A_hinge_9_sigma1.5.pdb,0.239499
pdb6aqz_A_hinge_2_sigma0.5.pdb,0.84868
pdb2hi9_A_hinge_1_sigma1.5.pdb,0.258649
pdb2hi9_A_hinge_1_sigma0.5.pdb,0.857759
pdb2hi9_A_hinge_6_sigma0.5.pdb,0.794675
pdb2hi9_A_hinge_10_sigma1.0.pdb,0.487357
pdb2hi9_A_hinge_9_sigma1.0.pdb,0.488209
pdb2hi9_A_hinge_2_sigma1.5.pdb,0.276413
pdb2hi9_A_hinge_7_sigma1.5.pdb,0.205621
pdb2hi9_A_hinge_9_sigma1.5.pdb,0.149519
pdb2hi9_A_hinge_0_sigma1.0.pdb,0.561561
pdb2hi9_A_hinge_5_sigma1.0.pdb,0.515824
pdb2hi9_A_hinge_3_sigma0.5.pdb,0.734399
pdb2hi9_A_hinge_10_sigma1.5.pdb,0.167298
pdb2hi9_A_hinge_6_sigma1.5.pdb,0.225271
pdb2hi9_A_hinge_3_sigma1.5.pdb,0.221746
pdb2hi9_A_hinge_1_sigma1.0.pdb,0.527968
pdb2hi9_A_hinge_4_sigma0.5.pdb,0.773528
pdb2hi9_A_hinge_7_sigma0.5.pdb,0.736704
pdb2hi9_A_hinge_3_sigma1.0.pdb,0.55726
pdb2hi9_A_hinge_2_sigma1.0.pdb,0.537504
pdb2hi9_A_hinge_2_sigma0.5.pdb,0.765398
pdb2hi9_A_hinge_5_sigma0.5.pdb,0.759022
pdb2hi9_A_hinge_6_sigma1.0.pdb,0.519322
pdb2hi9_A_hinge_9_sigma0.5.pdb,0.782154
pdb2hi9_A_hinge_8_sigma0.5.pdb,0.785482
pdb2hi9_A_hinge_0_sigma1.5.pdb,0.202489
pdb2hi9_A_hinge_4_sigma1.5.pdb,0.247468
pdb2hi9_A_hinge_8_sigma1.5.pdb,0.185932
pdb2hi9_A_hinge_0_sigma0.5.pdb,0.815567
pdb2hi9_A_hinge_10_sigma0.5.pdb,0.759526
pdb2hi9_A_hinge_7_sigma1.0.pdb,0.494584
pdb2hi9_A_hinge_4_sigma1.0.pdb,0.504931
pdb2hi9_A_hinge_8_sigma1.0.pdb,0.496673
pdb2hi9_A_hinge_5_sigma1.5.pdb,0.239365
pdb2ktv_A_hinge_4_sigma1.5.pdb,0.030192
pdb2ktv_A_hinge_6_sigma0.5.pdb,0.113703
pdb2ktv_A_hinge_1_sigma0.5.pdb,0.132934
pdb2ktv_A_hinge_3_sigma1.5.pdb,0.043075
pdb2ktv_A_hinge_6_sigma1.0.pdb,0.076137
pdb2ktv_A_hinge_3_sigma1.0.pdb,0.109065
pdb2ktv_A_hinge_2_sigma0.5.pdb,0.137151
pdb2ktv_A_hinge_0_sigma1.0.pdb,0.089435
pdb2ktv_A_hinge_1_sigma1.0.pdb,0.097815
pdb2ktv_A_hinge_2_sigma1.5.pdb,0.025499
pdb2ktv_A_hinge_0_sigma1.5.pdb,0.034242
pdb2ktv_A_hinge_6_sigma1.5.pdb,0.023417
pdb2ktv_A_hinge_2_sigma1.0.pdb,0.110144
pdb2ktv_A_hinge_1_sigma1.5.pdb,0.051882
pdb2ktv_A_hinge_5_sigma1.0.pdb,0.071148
pdb2ktv_A_hinge_3_sigma0.5.pdb,0.14998
pdb2ktv_A_hinge_0_sigma0.5.pdb,0.133579
pdb2ktv_A_hinge_4_sigma0.5.pdb,0.134507
pdb2ktv_A_hinge_4_sigma1.0.pdb,0.095002
pdb2ktv_A_hinge_5_sigma1.5.pdb,0.057311
pdb2ktv_A_hinge_5_sigma0.5.pdb,0.146654
pdb2i8l_A_hinge_0_sigma0.5.pdb,0.150981
pdb2i8l_A_hinge_1_sigma0.5.pdb,0.152816
pdb2i8l_A_hinge_0_sigma1.5.pdb,0.037773
pdb2i8l_A_hinge_5_sigma1.5.pdb,0.042635
pdb2i8l_A_hinge_0_sigma1.0.pdb,0.127605
pdb2i8l_A_hinge_4_sigma1.5.pdb,0.044796
