p_pdb,q_pdb,execution_time
1amq_,1amr_,0.14310836791992188
1ama_,9aat_A,0.16909480094909668
1amr_,9aat_A,0.08696413040161133
1art_,1ars_,0.15819358825683594
1ars_,1amr_,0.09942412376403809
9aat_A,1ama_A,0.0233660005
2gyy_B,2gz1_B,0.21904349327087402
2gyy_A,2gz1_A,0.0416319966
2gz1_A,2gz3_B,0.22382760047912598
1gq3_A,1d09_A,0.11152458190917969
3r7l_A,3r7d_A,0.16294193267822266
1gq3_A,1gq3_C,0.0295580011
1gq3_C,1gq3_B,0.13891124725341797
8atc_D,5at1_D,0.00882500038
8atc_A,5at1_A,0.16064763069152832
6at1_A,1d09_A,0.1930065155029297
1d09_A,1za1_A,0.1156923770904541
1za1_A,1q95_A,0.11153435707092285
1f1b_C,1ezz_C,0.1295607089996338
1q95_A,9atc_A,0.13458466529846191
1f1b_A,1ezz_A,0.17367768287658691
1at1_A,1raa_A,0.15755629539489746
1at1_D,1raa_D,0.15699052810668945
1d09_B,1za1_B,0.13789892196655273
1f1b_D,1ezz_D,0.09618330001831055
1gl3_A,1brm_A,0.18005609512329102
1mc4_A,1mb4_B,0.0568540022
1gl3_B,1brm_B,0.13982605934143066
2dt9_B,2zho_B,0.08842206001281738
3tvi_B,3tvi_A,0.18846559524536133
2dt9_B,2zho_F,0.23460793495178223
1eqr_A,1eqr_C,0.150802001
1eqr_A,1eqr_B,0.0926460028
1il2_A,1il2_B,0.164131999
1l0w_B,1g51_A,0.104230002
1c0a_A,1eqr_A,0.150913
1c0a_A,1eqr_B,0.109568
3nel_A,3nem_B,0.0820109993
1eov_A,1asy_A,0.2753596305847168
1g51_B,1efw_A,0.100781009
1efw_A,1l0w_A,0.23833847045898438
1g51_A,1efw_A,0.147818998
5jxk_B,5jwi_A,0.36319851875305176
5jxk_B,5jwg_A,0.2984147071838379
5jxk_A,5jwi_B,0.299407958984375
5jxk_A,5jwg_A,0.3833343982696533
5jxk_A,5jwi_A,0.3646717071533203
5jxk_B,5jwi_B,0.35529446601867676
5jwf_A,5jwi_A,0.30283522605895996
7bsu_A,7bsv_A,0.43398308753967285
1gmj_A,1gmj_B,0.00292500015
1gmj_A,1gmj_D,0.00263100024
1gmj_B,1gmj_C,0.00260900054
1gmj_B,1gmj_D,0.00272800028
1gmj_A,1gmj_C,0.00264899991
6a6n_A,6a6m_A,0.158189997
4ayw_A,4ayt_A,0.24892377853393555
