p_pdb,q_pdb,execution_time
1h8e_D,2jiz_L,1.96718
5ara_E,5ari_E,2.469473
5are_E,5fil_E,2.468338
5are_E,5ari_E,2.538589
5ara_D,5fik_D,2.5402
5ara_E,5fik_E,2.444231
5fij_F,5fik_F,2.459532
5fij_E,5fik_E,2.436799
5fij_D,5fik_D,2.586532
5fil_D,5arh_D,2.571292
5fil_F,5arh_F,2.456768
5fil_E,5ara_E,2.477331
5fil_D,5ara_D,2.512094
5ara_F,5arh_F,2.499785
5ara_E,5arh_E,2.482522
1jdn_A,1jdp_A,1.452972
2dt5_A,3ikt_A,0.33748
1xcb_A,3ikt_A,0.329968
2dt5_A,3ikt_B,0.338066
1xcb_A,1xcb_B,0.291292
5xwy_A,5xwp_A,21.011466
2hj9_A,1zhh_A,1.171303
1jx6_A,1zhh_A,1.158635
1zhh_A,2hje_A,0.522153
2hje_A,2hj9_A,0.532241
4pia_A,6fxo_A,0.472058
6fxo_A,6fxp_A,0.6295
4tnw_B,4tnv_B,1.136061
3rhw_A,4tnv_A,1.056259
4tnw_A,4tnv_A,1.147279
1ehk_A,2ify_A,2.465799
2ify_A,4my4_A,2.128072
1w8n_A,1eut_A,5.081482
1eut_A,1w8o_A,5.108532
2bzd_A,2bzd_C,5.06961
1w8n_A,2bzd_A,5.156517
1eut_A,2ber_A,5.2121
1bp1_A,2ewf_A,1.314053
1msw_D,1s76_D,9.770825
1qln_A,1msw_D,9.397174
1qln_A,1aro_P,8.290411
4o01_A,4o0p_A,1.516786
4q0j_A,5c5k_A,1.712809
5i5l_A,5hsq_A,1.708039
1yvs_A,1b20_A,0.082138
1yvs_A,1b20_C,0.066217
1brs_B,1yvs_A,0.095034
1brn_L,1yvs_,
1brn_L,1yvs_A,0.07025
3gqi_A,7yc1_A,0.820787
3gqi_A,4uxq_A,0.689626
3gqi_A,7yc3_A,0.816947
3gqi_A,3gql_A,0.705846
3gqi_A,4j99_A,0.70554
3gqi_A,4j95_B,0.692112
3gqi_A,6nvi_A,0.660538
3gqi_A,6p69_A,0.703018
3gqi_A,3ky2_A,0.806092
3kxx_D,5vnd_B,0.68159
3gqi_A,7wcx_A,0.81974
3gqi_A,7vjl_A,0.602542
3gqi_A,7v29_B,0.738873
3gqi_A,5nud_B,0.638892
